Mailing Address - State,"Does your state have state gifted education advocacy groups
(e.g., an NAGC affiliate)?","Does your state have a definition of ""gifted"" in law or rule?","If your state has a definition of “gifted” in law or rule, has the definition changed since the 2022-2023 school year?",Are LEAs required to follow the state definition of gifted?,Does your state require by law or rule the identification of gifted and talented students?,Are LEAs in your state required to use specific criteria/methods for identification of gifted and talented students?,Are LEA's allowed to modify or alter the criteria or methods in any way?,Does the State collect data from districts on those modifications?,Does the State collect data regarding the specific criteria/methods for identification of gifted and talented students used by LEA's?,"Does the State Provide any guidance (e.g., suggestion of best practices) to LEA's in lieu of mandated criteria or methods?",Does the state collect data on LEA's that do use a universal screening process for referral and/or identification of gifted and talented students?,Does your state collect data on sub-groups of students identified as gifted and talented?,Does the SEA produce an annual report on gifted and talented services in the state? - Selected Choice,"Are LEAs in your state required to report on gifted and talented education programs and services through state accountability procedures, regulations, or guidelines?",Does your state identify “gifted” as a sub-reporting group for accountability purposes?,"Are gifted and talented indicators required by state law or rule (such as the percent of students identified for gifted education in the district, or gifted student performance information) to be included on district report cards or other state accountability reporting forms?",Does the state collect any academic or administrative data relating to gifted and talented indicators?,"Are LEAs required to submit gifted education identification, program implementation, and/or policy plans to the SEA? Select all that apply.","Must LEA gifted education identification, program implementation, and/or policy plans be approved by the SEA? Select all that apply.",Does your state law or rule require each LEA to have a gifted education administrator/coordinator?,Does your state law or rule require that the gifted education administrator/coordinator have a credential in gifted education?,Does your state have a law or rule that mandates gifted programming options/services?,Does your state have an acceleration policy in law or rule?,Does your state have an early entrance to kindergarten policy in law or rule?,"Under your state laws and rules, are LEA’s required to provide students opportunities for dual or concurrent enrollment in a community college, college, or university?","Under your state laws and rules, are students allowed dual or concurrent enrollment in a community college, college, or university?","Does your state collect corresponding data (e.g., enrollment, passing rates, etc.) for dual or concurrent enrollment in a community college, college, or university?",Does your state have a law or rule permitting middle school students to receive credit toward high school graduation?,Are LEA's in your state allowed to provide access for middle school students to receive credit toward high school graduation?,Does your state collect data or district policy information regarding LEA's that allow middle school students to receive credit toward high school graduation?,Does your state have a law or rule permitting proficiency-based promotion (demonstrating proficiency without seat time in the course)?,Are LEA's in your state allowed to use proficiency-based promotion (demonstrating proficiency without seat time in the course) for students?,Does your state collect data or district policy information regarding proficiency-based promotion (demonstrating proficiency without seat time in the course) for students?,Does your state collect data regarding the gifted education services provided by LEA's?,Does your state have state program standards/guidelines for gifted education?,Are all pre-service teacher candidates in your state required to take coursework in gifted education?,Is professional learning with respect to gifted education for administrators required in your state?,Does the state provide or create opportunities/resources for professional learning with respect to gifted education for administrators?,Is professional learning with respect to gifted education for counselors required in your state?,Does the state provide or create opportunities/resources for professional learning with respect to gifted education for counselors?,Is professional learning with respect to gifted education for special education professionals required in your state?,Please provide a URL/link to the policy requiring coursework in gifted education for special education professionals.,Please select the following areas covered in the professional learning for special education professionals: - Curriculum/Program Planning for Gifted Students,Please select the following areas covered in the professional learning for special education professionals: - Nature and Needs of Gifted Students,Please select the following areas covered in the professional learning for special education professionals: - Identifying Gifted Students,Please select the following areas covered in the professional learning for special education professionals: - Creativity in Gifted Students,Please select the following areas covered in the professional learning for special education professionals: - Diverse Populations in Gifted Students,Please select the following areas covered in the professional learning for special education professionals: - Other,Please select the following areas covered in the professional learning for special education professionals: - Other - Text,Please select the following areas covered in the professional learning for special education professionals: - Other,Please select the following areas covered in the professional learning for special education professionals: - Other - Text,Please select the following areas covered in the professional learning for special education professionals: - Other,Please select the following areas covered in the professional learning for special education professionals: - Other - Text,Does the state provide or create opportunities/resources for professional learning with respect to gifted education for special education professionals?,Please describe how the state provides or creates opportunities/resources for professional learning with respect to gifted education for special education professionals.,Does your state provide dedicated funding to LEAs specifically earmarked to support gifted education?,Please describe how your state provides dedicated funding to support gifted education programs.,Please provide the URL/link to the policy regarding funding for gifted education.,How much funding was provided by the state to LEAs to support gifted education in the following years: - 2021-2022,How much funding was provided by the state to LEAs to support gifted education in the following years: - 2022-2023,How much funding per identified student was provided by the state to LEAs to support gifted education in the following years: - 2021-2022,How much funding per identified student was provided by the state to LEAs to support gifted education in the following years: - 2022-2023,"If applicable, explain the funding and/or any changes since the previous State of the States survey.",How much funding is provided to the SEA (but not distributed to LEAs) to support gifted education programs in gifted education in the following years: - 2021-2022,How much funding is provided to the SEA (but not distributed to LEAs) to support gifted education programs in gifted education in the following years: - 2022-2023,"Please provide any comments, explanations, or context about the sources of funding for gifted education.",Did your state provide funding specifically earmarked for identification of gifted students in 2022-2023?,Please indicate the funding source for identification of gifted students. - Selected Choice,Please indicate the funding source for identification of gifted students. - Other - Text,Did your state provide funding specifically earmarked to conduct the universal screening process for gifted education in 2022-2023?,Please indicate the funding source for universal screening. - Selected Choice,Please indicate the funding source for universal screening. - Other - Text,Please provide comments about funding for universal screening for gifted education in your state.,Did your state provide funding specifically earmarked for programming/services for gifted students in 2022-2023?,Does your state provide funding to address the equity/excellence gap in gifted education in 2022-2023?,Please explain that funding.,Please provide the URLs/links to any new or changed state policies that impact gifted education services from the last three years and explanation.,"If applicable, please upload the associated documentation related to any new or changed state policies that impact gifted education services from the last three years and explanation (e.g., pdf of new policy). - Id","If applicable, please upload the associated documentation related to any new or changed state policies that impact gifted education services from the last three years and explanation (e.g., pdf of new policy). - Name","If applicable, please upload the associated documentation related to any new or changed state policies that impact gifted education services from the last three years and explanation (e.g., pdf of new policy). - Size","If applicable, please upload the associated documentation related to any new or changed state policies that impact gifted education services from the last three years and explanation (e.g., pdf of new policy). - Type",Does your state have a policy and/or initiative to address the equity/excellence gap for gifted students?,Please select the way(s) your state is addressing the equity/excellence gap in gifted education: - Selected Choice,Please select the way(s) your state is addressing the equity/excellence gap in gifted education: - Other - Text,Select the special population(s) specifically addressed in the policy and/or initiative: - Selected Choice,Select the special population(s) specifically addressed in the policy and/or initiative: - Other - Text,Does your state collect data regarding LEA policies and/or initiatives to address the equity/excellence gap for gifted students?,Please describe the data your state collects regarding LEA policies and/or initiatives to address the equity/excellence gap for gifted students.,"If applicable, please provide comments regarding the ways in which your state is addressing the equity/excellence gap in gifted education.",In what ways has the COVID-19 pandemic impacted gifted education in your state? - Modification of Identification Procedures,In what ways has the COVID-19 pandemic impacted gifted education in your state? - Reduction in Funding for Gifted Education,In what ways has the COVID-19 pandemic impacted gifted education in your state? - Modification of duties of SEA gifted education personnel to areas not associated with gifted education.,In what ways has the COVID-19 pandemic impacted gifted education in your state? - Reduced Professional Learning Opportunities,In what ways has the COVID-19 pandemic impacted gifted education in your state? - Increase in demand for Virtual Learning for Gifted Students,In what ways has the COVID-19 pandemic impacted gifted education in your state? - Modification to Curriculum/Programming for Gifted Students besides virtual learning requirements,In what ways has the COVID-19 pandemic impacted gifted education in your state? - Other,In what ways has the COVID-19 pandemic impacted gifted education in your state? - Other - Text,In what ways has the COVID-19 pandemic impacted gifted education in your state? - Other,In what ways has the COVID-19 pandemic impacted gifted education in your state? - Other - Text,In what ways has the COVID-19 pandemic impacted gifted education in your state? - Other,In what ways has the COVID-19 pandemic impacted gifted education in your state? - Other - Text,Did your state provide guidance to LEA's specifically related to modifying gifted and talented policies or practices  during school closures related to Covid 19?,Please describe the guidance provided by the state to LEA's specifically related to modifying gifted and talented policies or practices during school closures related to Covid 19?,Did your state collect any data regarding specific changes in gifted education policy or practices made by LEA's during the COVID-19 Pandemic?,Please describe the data collected regarding specific changes in gifted education policy made by LEA's during the COVID-19 Pandemic.,Please provide details to any other areas surrounding COVID-19 and gifted education in your state that you feel important but was not covered by questions in this survey.,Has the 2015 Every Student Succeeds Act affected your state's policies or practices in gifted education?,In what ways has the 2015 Every Student Succeeds Act (ESSA) affected your state’s policies or practices in gifted education?,Provide any clarifications to your responses that you would like to make.  (Please include a reference to the question text in your answer.),Please provide any comments that will help future efforts to study the status of gifted education in the United States.
Florida,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,,,No,Yes,Other (Please explain),Yes,Yes,Yes,,"Yes, identification plans must be submitted.,Yes, program implementation plans must be submitted.,Yes, policy plans must be submitted.","Yes, identification plans must be approved.,Yes, program implementation plans must be approved.,Yes, policy plans must be approved.",Yes,No,Yes,Yes,No,Yes,,Yes,Yes,,,Yes,,,Yes,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,Yes,,,,,,,,,,,No,,,No,,,,Yes,,,"6A-4.01791, Florida Administrative Code",F_1lu9MVeUZxV7XTu,6A-4.01791.doc,20992,application/x-cfb,,,,,,,,,,,,,,,,,,,,,Yes,Gifted policies were included under the ESE policies and practices during school closures related to Covid 19 in each LEA Instructional Continuity Plan. https://icp.fldoe.org/,,,,,,,
Virginia,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,No,No,No,No,"Yes, identification plans must be submitted.,Yes, program implementation plans must be submitted.,Yes, policy plans must be submitted.",No,Yes,No,Yes,No,No,Yes,,Yes,No,Yes,Yes,Yes,,No,Yes,Yes,Yes,No,No,No,No,No,,,,,,,,,,,,,Yes,The VDOE and Virginia Advisory Committee for Education of the Gifted (VACEG) have several guides for twice-exceptional students that inform special educators of best practices in identification and services. ,Yes,"The Commonwealth of Virginia provides each locality with an apportioned share of funds to support local program services, based on that locality's total student enrollment. The money is apportioned according to guidelines in the Standards of Quality and must be matched with a prescribed amount of local funds. State funds administered by the Department of Education and local matching funds may be used to support only those activities identified in the school division's approved local plan for the education of the gifted.",https://budget.lis.virginia.gov/item/2023/2/HB6001/Introduced/1/137/,"$36,546,487.00 ","$38,532,124.00 ",varies by division; calculated based on the local composite index,varies by division; calculated based on the local composite index,,"$18,910,228.00 ","$21,104,659.00 ","The above amounts include state appropriated amounts for Academic Year Governor’s Schools, Summer Residential Governor’s Schools, Summer Regional Governor’s Schools, and operating costs for the Office of Advanced Learning at the Virginia Department of Education. All programs support advanced learners in the Commonwealth. ",No,,,No,,,,No,No,,,,,,,No,,,,,No,,,No,No,No,No,Yes,No,,,,,,,No,,No,,,No,,,
Maine,Yes,Yes,Yes,Yes,Yes,No,,,No,No,No,Yes,No,No,No,No,No,"Yes, identification plans must be submitted.","Yes, identification plans must be approved.",No,,No,No,No,No,Yes,No,No,No,,No,Yes,No,No,Yes,No,No,No,No,No,No,,,,,,,,,,,,,Yes,see 2022 response,Yes,see 2022 response,see 2022 response,"~14,000,000","~14,000,000",,,"The ~14,000,000 is in a bucket fund. Schools submit an application for the money and how they will use it. For example, for personnel or identification tools. The state meets a percentage portion of required implementation funds.",,,see previous comment,No,,,No,,,,No,No,,n/a,,,,,No,,,,,No,,,No,No,No,No,No,No,Yes,Schools were able to extend their 2018-2019 approval through 2023,,,,,No,,No,,n/a,No,,n/a,n/a
Oregon,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,,No,Yes,No,No,Yes,No,No,"Yes, identification plans must be submitted.,Yes, program implementation plans must be submitted.,Yes, policy plans must be submitted.",No,No,,Yes,No,No,Yes,,Yes,No,Yes,No,Yes,,No,No,,No,No,Yes,No,Yes,No,,,,,,,,,,,,,Yes,Special Education educators and program directors are invited to attend trainings with classroom educators and administrators.,No,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,,,No,No,No,Yes,Unsure,No,,,,,,,Yes,Waived identification requirements for the 2019-20 school year. ,No,,,No,,,
Hawaii,No,No,,,No,No,,,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,,No,No,No,No,Yes,Yes,No,No,,No,No,,No,No,No,No,No,No,Yes,No,,,,,,,,,,,,,Yes,We have developed (with a grant from Javits received by UH Manoa) an online course specifically addressing the 2e learner.,Yes,All schools receive a weight in the weighted student formula that budgets a weight of 0.265 to 3% of the school's total population.,n/a,"$5,777,144 ","$5,994,034 ","$1,208.35 ","$1,276.96 ",The funding has remained the same. The GT count in the weighted student formula is higher than the count in the GT report because an exact count is not used. The WSF uses 3% of the schools total population weighted at 0.265.,n/a,n/a,The SEA does not receive any GT funding from the state or federal government. The budgeted funds in weighted student formula goes directly to the schools.,Yes,"included in funds allocated to LEAs for general education,Other","Schools, not LEAs.",Yes,included in funds allocated to LEAs for general education,,Funding goes directly to all HIDOE schools through weighted student formula.,Yes,No,,n/a,,,,,No,,,,,No,,Created an online course to help schools identify culturally and linguistically diverse students.,Yes,No,Unsure,No,Yes,Yes,,,,,,,Yes,Guidance and resources made available through website.,No,,,No,,Questions regarding LEAs are not applicable to HIDOE because we are a one state/one district. ,
MD,Yes,Yes,No,No,Yes,No,,,Yes,Yes,,Yes,No,Yes,No,No,No,No,No,No,,Yes,No,Yes,Yes,,Yes,Yes,,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,,,,,,,,,,,,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"State policy or initiative,Universal screening,Using alternative assessment (e.g. nonverbal tests like the NNAT),Using specialized checklists (ex. CLED checklist),Teacher training/professional development,Engagement of families and communities of color,Culturally responsive teaching,Conducting research",,"English Learners,Racially/ethnically/culturally diverse,Twice Exceptional (2E),Rural,Socioeconomic Status (e.g., qualifies for free/reduced lunch)",,Yes,LEA's create goals based on increasing underserved student groups. Various workgroups from recommendations and initiatives target access for underserved students. We are currently conducting a research study in the state focused on excellence gaps in GT. ,,Unsure,No,Unsure,Unsure,Yes,Yes,,,,,,,No,,No,,,Yes,Gave attention to GT in formalized setting. Information must be included and reported on through ESSA. ,,
Arizona,Yes,Yes,No,Yes,Yes,No,,,Yes,No,Yes,Yes,No,No,No,No,No,"Yes, identification plans must be submitted.,Yes, program implementation plans must be submitted.","Yes, identification plans must be approved.,Yes, program implementation plans must be approved.",No,,No,No,Yes,No,Yes,,No,Yes,No,Yes,,No,No,Yes,No,No,No,No,No,No,,,,,,,,,,,,,No,,Yes,"The state provided $850,000 funding to support gifted education programs and an additional $1,383,737.12 in Group B weight per gifted student reporting in the school information system. ",https://www.azleg.gov/legtext/55Leg/1R/laws/0404.pdf,"850,000","850,000","1,000,000","1,383,737.12","Starting in 2021-2022 school year, a new Group B add on weight has been implemented. ","340,600","404,000",The Group B add on weight would be in addition to these funds. ,No,,,Yes,Other,Universal Screening for 2nd graders provided by the State.,,No,No,,https://www.azleg.gov/legtext/55Leg/1R/laws/0404.pdf,,,,,No,,,,,No,,,Yes,No,Yes,No,No,Yes,Yes,"Due to pandemic-related staff turnover, some districts have needed to re-build their gifted program.",,,,,No,,No,,,No,,,
Missouri,Yes,Yes,No,Yes,No,Yes,Yes,Yes,,,,Yes,Other (Please explain),Yes,Yes,Yes,,"Yes, identification plans must be submitted.","Yes, identification plans must be approved.",No,,Yes,Yes,No,No,No,,No,Yes,No,Yes,,Yes,Yes,Yes,No,No,Yes,No,Yes,No,,,,,,,,,,,,,Yes,"The Director of Gifted Education presents annually at the Federal Programs Conference, run by the department. ",No,,,,,,,"Gifted education funding is in the foundation formula. This is not new, but I don't recall commenting on it in the last survey. ",,,,,,,,,,,,,,https://revisor.mo.gov/main/OneSection.aspx?section=162.720,,,,,No,,,,,Yes,Data is collected through Core Data/MOSIS and through the Missouri Assessment Program. Students are identified as gifted and reports can be generated that provide this information. ,,Yes,No,No,No,Unsure,No,,,,,,,No,,No,,"At this point in time, gifted education is not collecting data or providing support surrounding COVID-19. The bigger focus is on teacher recruitment and retention. Also, on certification changes, the new state statute, and updated Gifted Education Program Guidelines. ",No,,"Q 11. Our Gifted Program Rule is in rulemaking process and we will have updated Gifted Education Program Guidelines in November. I did not include the link to the current guidelines because they are being updated. I could reference the guidelines as presented to the State Board of Education in April, but it is possible that additional modifications will be made so I hesitated to include that link. I am not sure when this is going to press, but if possible, I would like to include the new link - available in November. ",
NM,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Other (Please explain),Yes,Yes,No,Yes,"Yes, identification plans must be submitted.,Yes, program implementation plans must be submitted.","Yes, identification plans must be approved.,Yes, program implementation plans must be approved.",No,,Yes,No,No,Yes,,Yes,Yes,,Yes,No,No,,Yes,Yes,No,No,No,No,No,No,,,,,,,,,,,,,Yes,The NMPED has begun to offer professional development opportunities for at both a statewide level and upon LEA request regarding gifted. ,Yes,There is a multiplier to the state equalization grant that each identified gifted student receives. ,https://webnew.ped.state.nm.us/wp-content/uploads/2023/08/Gifted-TAM-2023.pdf,,,,,Previously all gifted funding went into operational and was not tracked. Tracking of funding will being in SY 25-26. ,0,0,The SEA does not receive funding specifically for gifted. ,No,,,No,,,,No,No,,https://www.srca.nm.gov/nmac/nmregister/xxxiv/6.31.3.pdf,F_2zBVeiPtoJVuqaW,6.31.3 NMAC Gifted Children.pdf,152085,application/pdf,Yes,"State policy or initiative,Universal screening,Using alternative assessment (e.g. nonverbal tests like the NNAT),Using specialized checklists (ex. CLED checklist),Teacher training/professional development,Engagement of families and communities of color,Culturally responsive teaching",,"English Learners,Racially/ethnically/culturally diverse,Twice Exceptional (2E),Rural,Socioeconomic Status (e.g., qualifies for free/reduced lunch)",,Yes,"The focus of the policy change implemented in July 2023 was meant to address equity issues found in a House Memorial report called for in 2022.  We are collecting identification data, service provision data, alternative protocol for identification usage and success data, qualitative feedback from practitioners, and other misc data. ","We completely rewrote our identification policy, have begun offering professional development regarding gifted identification, included gifted and advanced learners within our multi-layered systems of supports, and implemented universal screening. ",Yes,Unsure,Yes,Yes,Yes,Yes,Yes,Created space for a gifted education professional at the SEA. ,,,,,No,,No,,"The move to online provided the opportunity for people outside of Santa Fe (the location of NMPED) to begin working for the NMPED. This allowed for my position to be created and filled. If we had not been allowed work from home, it is unlikely I would have been able to take this position and gifted would not have been placed with a gifted educator as the position was MLSS and gifted was added on because of my endorsement.  ",No,,,Gifted needs to be federally mandated. The biggest boon to gifted in New Mexico is that it is considered an exceptionality covered by special education under New Mexico law and has been since 1978. 
IN,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,,,,Yes,No,Yes,No,No,No,"Yes, identification plans must be submitted.,Yes, program implementation plans must be submitted.","Yes, identification plans must be approved.,Yes, program implementation plans must be approved.",No,,Yes,No,No,No,Yes,Yes,No,Yes,,Yes,,,Yes,Yes,No,No,Yes,No,Yes,No,,,,,,,,,,,,,Yes,"Through the High Ability Program Grant, LEAs may earmark funds for professional development for staff working with high ability students. The state also offers webinars and other opportunities. ",Yes,There is annual funding made available for LEAs through the High Ability Program Grant. This is a non-competitive grant open to all LEAs in Indiana. ,https://iga.in.gov/laws/2024/ic/titles/20#20-36,"Total grant amount: $12,689,981.00; total distributed: $12,583,013.12","Total grant amount: $12,048,654.18; total distributed: $10,646,862.70",,,,,,,Yes,"included in funds allocated to LEAs specifically for GT education,Other",LEAs may choose to pull additional funding from different sources.,Yes,"included in funds allocated to LEAs specifically for GT education,Other",LEAs may choose to pull funding for screening from other sources. ,Each LEA has a certain amount of funding that must be spent on high ability identification. ,Yes,No,,,,,,,No,,,,,No,,,No,No,No,Yes,Yes,No,,,,,,,No,,,,,,,,
